spot_id,spot_name,course_id,region_id,course_seq,time_move,div_inout,tema_name
101,남호구택,1,271,1,0,실외,체험/학습/산업
102,춘양목 송이마을,1,271,2,3,실외,자연/힐링
103,지림사,1,271,3,6,실외,종교/역사/전통
104,계서당(성이성 생가),1,271,4,9,실외,문화/예술
201,영국사,2,332,1,0,실외,종교/역사/전통
202,난계국악박물관/난계국악기체험전수관,2,332,2,3,실내,종교/역사/전통
203,송호국민관광지캠핑장,2,332,3,9,실외,캠핑/스포츠
301,일월산,3,334,1,0,실외,자연/힐링
302,두메송하마을,3,334,2,2,실외,체험/학습/산업
303,영양시장,3,334,3,6,실외,쇼핑/놀이
304,국립 검마산자연휴양림,3,334,4,9,실외,자연/힐링
401,법주사,4,226,1,0,실외,종교/역사/전통
402,선병국 가옥,4,226,2,2,실외,종교/역사/전통
403,삼년산성,4,226,3,5,실외,종교/역사/전통
404,비단강숲마을,4,332,4,8,실외,자연/힐링
501,화양동야영장,5,309,1,0,실외,캠핑/스포츠
502,화양동계곡 트레킹,5,309,2,3,실외,캠핑/스포츠
503,오장환문학관,5,226,3,5,실내,종교/역사/전통
504,정이품송,5,226,4,9,실외,자연/힐링
601,미동산수목원,6,131,1,0,실외,자연/힐링
602,문의문화재단지,6,131,2,3,실외,종교/역사/전통
603,청남대,6,131,3,6,실내,종교/역사/전통
604,상수허브랜드,6,131,4,9,실외,자연/힐링
701,몽산포캠핑장,7,352,1,0,실외,캠핑/스포츠
702,안면암,7,352,2,2,실외,종교/역사/전통
703,꽃지해수욕장,7,352,3,4,실외,자연/힐링
704,고남패총박물관,7,352,4,6,실내,종교/역사/전통
705,대천항,7,235,5,8,실외,자연/힐링
801,괴목정,8,302,1,0,실외,자연/힐링
802,사계고택,8,302,2,3,실외,종교/역사/전통
803,개태사,8,315,3,6,실외,종교/역사/전통
804,KT&G 상상마당 논산 캠핑장,8,315,4,9,실외,캠핑/스포츠
901,명재고택,9,315,1,0,실외,종교/역사/전통
902,백제군사박물관/계백장군유적지,9,315,2,2,실외,종교/역사/전통
903,관촉사,9,315,3,7,실외,종교/역사/전통
904,KT&G 상상마당 논산 캠핑장,9,315,4,9,실외,캠핑/스포츠
1001,방자구이마을,10,235,1,0,실외,자연/힐링
1002,금강하구둑 관광지,10,323,2,2,실외,자연/힐링
1003,국립생태원,10,323,3,5,실내,자연/힐링
1004,장항 솔숲,10,323,4,7,실외,자연/힐링
1005,이색체험마을,10,323,5,10,실외,체험/학습/산업
1101,슬로시티 대흥,11,335,1,0,실외,자연/힐링
1102,봉수산 자연휴양림,11,335,2,3,실외,자연/힐링
1103,광시 한우거리,11,335,3,5,실외,쇼핑/놀이
1104,덕산온천 관광호텔,11,335,4,8,실내,자연/힐링
1201,삼길포항,12,129,1,0,실외,자연/힐링
1202,부석사,12,129,2,2,실외,종교/역사/전통
1203,천수만/간월암,12,129,3,5,실외,자연/힐링
1204,안면도자연휴양림,12,352,4,9,실외,자연/힐링
1301,밤벌오토캠핑장,13,300,1,0,실외,캠핑/스포츠
1302,유명산 자연휴양림,13,300,2,3,실외,자연/힐링
1303,대리마을 산골농원,13,300,3,6,실외,체험/학습/산업
1304,어비계곡,13,300,4,9,실외,자연/힐링
1401,오봉산 석굴암,14,330,1,0,실외,종교/역사/전통
1402,송추유원지,14,330,2,2,실외,자연/힐링
1403,신흥레저타운,14,330,3,5,실외,자연/힐링
1404,장흥아트파크,14,330,4,7,실내,문화/예술
1405,장흥해일농장,14,330,5,10,실외,캠핑/스포츠
1501,국립부여박물관,15,236,1,0,실내,종교/역사/전통
1502,정림사지,15,236,2,3,실외,종교/역사/전통
1503,시우리 캠핑장,15,236,3,6,실외,캠핑/스포츠
1504,부소산성,15,236,4,9,실외,종교/역사/전통
1601,이효석문화마을,16,353,1,0,실외,문화/예술
1602,허브나라 농원,16,353,2,3,실내,자연/힐링
1603,마가리캠핑장,16,353,3,6,실외,캠핑/스포츠
1604,흥정계곡,16,353,4,9,실외,자연/힐링
1701,아침고요수목원,17,300,1,0,실외,자연/힐링
1702,자라섬오토캠핑장,17,300,2,4,실외,캠핑/스포츠
1703,남이섬,17,300,3,8,실외,자연/힐링
1801,삼봉해수욕장,18,352,1,0,실외,자연/힐링
1802,꽃지해수욕장,18,352,2,1,실외,자연/힐링
1803,안면도자연휴양림,18,352,3,3,실외,자연/힐링
1804,홀리데이파크 캠핑카라반,18,352,4,5,실외,캠핑/스포츠
1805,팜카밀레허브농원,18,352,5,8,실외,자연/힐링
1806,안흥성,18,352,6,10,실외,종교/역사/전통
1901,백화산,19,352,1,0,실외,자연/힐링
1902,신두리해안사구,19,352,2,2,실외,자연/힐링
1903,학암포오토캠핑장,19,352,3,5,실외,캠핑/스포츠
1904,구름포해수욕장,19,352,4,7,실외,자연/힐링
1905,천리포수목원,19,352,5,10,실외,자연/힐링
2001,유관순열사 유적지,20,232,1,0,실외,종교/역사/전통
2002,병천순대 거리,20,232,2,3,실외,쇼핑/놀이
2003,아우내오토캠핑장,20,232,3,5,실외,캠핑/스포츠
2004,광덕사,20,232,4,8,실외,종교/역사/전통
2101,추사 고택,21,335,1,0,실외,종교/역사/전통
2102,예당 관광지,21,335,2,1,실외,자연/힐링
2103,의좋은 형제공원,21,335,3,3,실외,체험/학습/산업
2104,봉수산 자연휴양림,21,335,4,4,실외,자연/힐링
2105,임존성,21,335,5,5,실외,종교/역사/전통
2106,예당저수지야영장,21,335,6,6,실외,캠핑/스포츠
2107,충의사/예덕상무사,21,335,7,7,실외,종교/역사/전통
2108,수덕사,21,335,8,10,실내,종교/역사/전통
2109,리솜 스파 캐슬,21,335,9,11,실내,자연/힐링
2201,세계꽃식물원,22,326,1,0,실내,자연/힐링
2202,파라다이스 스파도고,22,326,2,2,실내,자연/힐링
2203,영인산 자연휴양림,22,326,3,5,실외,자연/힐링
2204,피나클랜드,22,326,4,7,실외,자연/힐링
2205,공세리 성당,22,326,5,10,실내,종교/역사/전통
2301,춘장대해수욕장,23,323,1,0,실외,자연/힐링
2302,홍원항,23,323,2,1,실외,자연/힐링
2303,마량리 동백나무 숲,23,323,3,3,실외,자연/힐링
2304,마량포구,23,323,4,5,실외,자연/힐링
2305,희리산자연휴양림,23,323,5,6,실외,자연/힐링
2306,성북리 오층석탑,23,323,6,8,실외,종교/역사/전통
2307,월하성 어촌 체험 마을,23,323,7,10,실외,체험/학습/산업
2401,대천항,24,235,1,0,실외,자연/힐링
2402,외연도,24,235,2,4,실외,자연/힐링
2403,무창포 해수욕장,24,235,3,8,실외,자연/힐링
2501,해남윤씨 녹우당,25,261,1,0,실내,종교/역사/전통
2502,달마산과 미황사,25,261,2,2,실외,종교/역사/전통
2503,땅끝관광지/땅끝모노레일카,25,261,3,5,실외,쇼핑/놀이
2504,대죽마을,25,261,4,10,실외,체험/학습/산업
2601,아르미애월드,26,201,1,0,실외,체험/학습/산업
2602,석모도,26,112,2,2,실외,자연/힐링
2603,함허동천 야영장,26,201,3,5,실외,캠핑/스포츠
2604,마니산(참성단),26,201,4,7,실외,자연/힐링
2605,전등사,26,201,5,10,실내,종교/역사/전통
2701,백령도,27,102,1,0,실외,자연/힐링
2702,콩돌해변,27,102,2,5,실외,자연/힐링
2703,해안절경 유람선,27,102,3,7,실외,자연/힐링
2704,심청각,27,102,4,9,실외,종교/역사/전통
2705,연화마을,27,102,5,10,실외,자연/힐링
2801,장성호관광지,28,343,1,0,실외,자연/힐링
2802,고불총림 백양사,28,343,2,2,실외,종교/역사/전통
2803,가인야영장,28,343,3,4,실외,캠핑/스포츠
2804,축령산휴양림,28,343,4,5,실외,자연/힐링
2805,홍길동생가,28,343,5,8,실외,종교/역사/전통
2806,필암서원,28,343,6,10,실외,종교/역사/전통
3001,우이도,30,325,1,0,실외,자연/힐링
3002,우이도 돈목 해수욕장,30,325,2,2,실외,자연/힐링
3003,도초 시목 해수욕장,30,325,3,3,실외,자연/힐링
3004,서남문대교,30,325,4,5,실외,자연/힐링
3005,비금도 내촌마을 옛 담장,30,325,5,7,실외,종교/역사/전통
3006,비금 해수욕장,30,325,6,9,실외,자연/힐링
